Type 	Density(/um)(VLS1:2:3) 	IncludedAngle(deg) 	toOrder 	eV 	Material 	Coating 	CoatThickness(um) 	Depth(um) 	ValleyWidth(um) 	BlazeAngle(deg) 	AntiBlazeAngle(deg) 	  	InsideOrder1 	InsideOrder2 	InsideOrder3

Blazed 	1.2(0:0:0) 		176 		 0 		760 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0679166 	0.00274277 	0.000414864
Blazed 	1.2(0:0:0) 		176 		 0 		765 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0674829 	0.00277437 	0.000425036
Blazed 	1.2(0:0:0) 		176 		 0 		770 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0669813 	0.00280293 	0.00043331
Blazed 	1.2(0:0:0) 		176 		 0 		775 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0664237 	0.00282867 	0.000439022
Blazed 	1.2(0:0:0) 		176 		 0 		780 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.065812 	0.00285282 	0.000441715
Blazed 	1.2(0:0:0) 		176 		 0 		785 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0651295 	0.00287544 	0.000441202
Blazed 	1.2(0:0:0) 		176 		 0 		790 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.064469 	0.00290181 	0.000438035
Blazed 	1.2(0:0:0) 		176 		 0 		795 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.063757 	0.00292983 	0.000432332
Blazed 	1.2(0:0:0) 		176 		 0 		800 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0629836 	0.00296162 	0.000424617
Blazed 	1.2(0:0:0) 		176 		 0 		805 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0621703 	0.00300117 	0.000415822
Blazed 	1.2(0:0:0) 		176 		 0 		810 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0612868 	0.0030442 	0.000406602
Blazed 	1.2(0:0:0) 		176 		 0 		815 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0602186 	0.00309159 	0.000397104
Blazed 	1.2(0:0:0) 		176 		 0 		820 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.05903 	0.00314338 	0.000388439
Blazed 	1.2(0:0:0) 		176 		 0 		825 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0577794 	0.00319959 	0.000381185
Blazed 	1.2(0:0:0) 		176 		 0 		830 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0565918 	0.0032662 	0.00037729
Blazed 	1.2(0:0:0) 		176 		 0 		835 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0553281 	0.00333495 	0.000374191
Blazed 	1.2(0:0:0) 		176 		 0 		840 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0539435 	0.00341434 	0.000375173
Blazed 	1.2(0:0:0) 		176 		 0 		845 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.052364 	0.00350258 	0.000376722
Blazed 	1.2(0:0:0) 		176 		 0 		850 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0506718 	0.00357865 	0.000369695
Blazed 	1.2(0:0:0) 		176 		 0 		855 	Ni.idx 	SiO2.idx 			0.1 	na 	na 	1.25 	90 	  	0.0490321 	0.00355197 	0.000343657
